Date,Open,High,Low,Close,Volume
2020-06-19,11.98,12.0,11.34,11.48,8894298.0
2020-06-22,11.42,11.91,11.33,11.83,7803083.0
2020-06-23,12.12,12.31,11.93,12.2,7232692.0
2020-06-24,11.96,12.04,10.9,11.14,7551333.0
2020-06-25,11.01,11.84,10.86,11.83,6725312.0
2020-06-26,11.61,11.7,10.87,10.93,25816642.0
2020-06-29,11.04,11.19,10.7,10.99,7397605.0
2020-06-30,10.84,11.36,10.745,11.24,5796789.0
2020-07-01,11.18,11.66,10.9,10.95,7702278.0
2020-07-02,11.26,11.68,10.86,10.97,7514641.0
2020-07-06,11.35,11.575,11.02,11.47,7080126.0
2020-07-07,11.23,11.64,11.11,11.23,4609572.0
2020-07-08,12.07,12.12,10.89,11.09,12275634.0
2020-07-09,11.03,11.061,10.46,10.52,8057533.0
2020-07-10,10.49,11.42,10.431,11.41,7886544.0
2020-07-13,11.53,11.975,11.465,11.51,7850559.0
2020-07-14,11.38,12.7,11.24,12.61,11422933.0
2020-07-15,12.85,12.97,12.125,12.69,11691118.0
2020-07-16,12.81,13.7,12.75,13.49,16686669.0
2020-07-17,13.54,13.86,12.78,13.06,9756108.0
2020-07-20,12.9,13.092,12.71,12.72,4676587.0
2020-07-21,12.83,13.27,12.81,13.16,5730810.0
2020-07-22,13.05,13.385,13.0,13.07,4860872.0
2020-07-23,13.02,13.17,12.62,12.71,5684962.0
2020-07-24,12.59,12.86,12.3,12.75,4173960.0
2020-07-27,12.81,13.31,12.5331,13.24,4692296.0
2020-07-28,12.97,13.12,12.8,12.91,3546374.0
2020-07-29,13.0,13.36,12.81,13.18,4758535.0
2020-07-30,12.83,13.25,12.47,13.18,6616336.0
2020-07-31,12.92,13.13,12.48,13.0,10357413.0
2020-08-03,13.08,13.78,12.92,13.68,5888115.0
2020-08-04,13.61,13.85,13.3,13.67,4871603.0
2020-08-05,14.0,14.8454,14.0,14.68,9437501.0
2020-08-06,14.73,15.5,14.3201,14.9,10031558.0
2020-08-07,14.64,14.84,14.23,14.67,6573588.0
2020-08-10,14.86,16.07,14.84,15.57,8087794.0
2020-08-11,16.02,16.07,14.83,14.89,7744457.0
2020-08-12,15.27,15.415,14.82,14.96,3987737.0
2020-08-13,14.75,15.12,14.42,14.48,4135694.0
2020-08-14,14.33,14.78,14.18,14.64,2991556.0
2020-08-17,14.75,14.9,14.36,14.5,2525755.0
2020-08-18,14.62,14.9774,14.57,14.76,4571125.0
2020-08-19,14.8,15.945,14.77,15.31,7297256.0
2020-08-20,15.04,15.245,14.73,15.19,3140945.0
2020-08-21,14.91,15.04,14.515,14.6,4326712.0
2020-08-24,14.85,15.13,14.7,15.12,3171175.0
2020-08-25,15.12,15.25,14.82,15.05,2363258.0
2020-08-26,15.09,15.44,15.02,15.07,3158480.0
2020-08-27,15.22,15.33,14.672,14.84,3246941.0
2020-08-28,15.01,15.18,14.8605,15.12,3144918.0
2020-08-31,15.23,15.23,14.62,14.62,4033212.0
2020-09-01,14.64,15.18,14.24,15.09,4123171.0
2020-09-02,14.73,14.87,14.41,14.67,5691182.0
2020-09-03,14.53,14.78,14.01,14.23,3930760.0
2020-09-04,14.52,14.67,13.9,14.4,3929632.0
2020-09-08,14.26,14.555,13.69,14.23,4901863.0
2020-09-09,14.32,14.4,14.05,14.1,3084124.0
2020-09-10,14.15,14.34,13.73,13.78,4206090.0
2020-09-11,13.89,14.28,13.675,13.98,4217426.0
2020-09-14,14.19,14.22,13.87,14.05,2691561.0
2020-09-15,14.2,14.39,13.78,13.78,5345890.0
2020-09-16,13.92,14.08,13.705,13.9,5585966.0
