Date,Open,High,Low,Close,Volume
2023-05-03,103.735,105.96,103.28,103.65,65051925.0
2023-05-04,104.04,105.39,103.3117,104.0,45345523.0
2023-05-05,104.27,105.76,103.55,105.655,56951744.0
2023-05-08,105.04,106.095,104.7001,105.83,49430909.0
2023-05-09,105.48,106.79,105.1567,106.62,44089359.0
2023-05-10,108.1,110.67,108.05,110.19,78627616.0
2023-05-11,111.03,113.28,110.49,112.18,74924841.0
2023-05-12,112.16,112.64,109.3185,110.26,49852671.0
2023-05-15,111.15,112.29,109.25,111.2,53011145.0
2023-05-16,111.05,114.7899,111.05,113.4,71472908.0
2023-05-17,114.89,115.83,114.22,115.5,65655177.0
2023-05-18,116.69,118.6,116.335,118.15,73174087.0
2023-05-19,118.16,118.31,115.7,116.25,55056307.0
2023-05-22,116.77,116.77,114.25,115.01,70741123.0
2023-05-23,114.27,117.14,113.78,114.99,67576262.0
2023-05-24,115.35,117.34,115.02,116.75,63487938.0
2023-05-25,116.63,116.87,114.31,115.0,66496681.0
2023-05-26,116.04,121.5,116.02,120.11,96779889.0
2023-05-30,122.37,122.92,119.855,121.66,64314808.0
2023-05-31,121.45,122.04,119.17,120.58,71769273.0
2023-06-01,120.69,123.49,119.93,122.77,54375131.0
2023-06-02,124.92,126.39,124.015,124.25,61264414.0
2023-06-05,123.36,125.8,123.03,125.3,47950128.0
2023-06-06,125.07,127.4,125.0,126.61,45695212.0
2023-06-07,127.01,127.365,120.63,121.23,95663275.0
2023-06-08,123.01,125.625,122.2579,124.25,62159270.0
2023-06-09,124.08,125.8,123.19,123.43,51396018.0
2023-06-12,124.02,126.78,123.53,126.57,51473376.0
2023-06-13,128.12,128.41,125.18,126.66,50564785.0
2023-06-14,126.7,126.95,124.12,126.42,52422463.0
2023-06-15,125.21,127.69,124.32,127.11,60458471.0
2023-06-16,127.71,127.9,125.3,125.49,84247104.0
2023-06-20,124.97,127.25,124.5,125.78,56930122.0
2023-06-21,125.64,126.73,123.85,124.83,52137670.0
2023-06-22,125.31,130.33,125.14,130.15,90354572.0
2023-06-23,129.11,130.84,128.28,129.33,71927776.0
2023-06-26,129.33,131.49,127.1,127.33,59989317.0
2023-06-27,128.63,130.085,127.55,129.18,46801008.0
2023-06-28,128.94,131.48,128.44,129.04,52149512.0
2023-06-29,128.77,129.26,127.255,127.9,40760959.0
2023-06-30,129.47,131.245,128.95,130.36,54350684.0
