Date,Open,High,Low,Close,Volume
2023-05-03,306.62,308.61,304.09,304.4,22360754.0
2023-05-04,306.24,307.7626,303.4,305.41,22519907.0
2023-05-05,305.72,311.97,304.27,310.65,28197052.0
2023-05-08,310.13,310.2,306.09,308.65,21318613.0
2023-05-09,308.0,310.04,306.31,307.0,21340829.0
2023-05-10,308.62,313.0,307.67,312.31,30078044.0
2023-05-11,310.1,311.12,306.2601,310.11,31680179.0
2023-05-12,310.55,310.65,306.6,308.97,19774696.0
2023-05-15,309.095,309.905,307.59,309.46,16336547.0
2023-05-16,309.83,313.71,309.83,311.74,26730347.0
2023-05-17,312.29,314.43,310.74,314.0,24315012.0
2023-05-18,314.53,319.04,313.72,318.52,27275991.0
2023-05-19,316.74,318.75,316.37,318.34,27546701.0
2023-05-22,318.6,322.59,318.01,321.18,24115664.0
2023-05-23,320.03,322.72,315.25,315.26,30797173.0
2023-05-24,314.73,316.5,312.61,313.85,23384887.0
2023-05-25,323.24,326.9,320.0,325.92,43301743.0
2023-05-26,324.02,333.4,323.88,332.89,36630633.0
2023-05-30,335.23,335.74,330.52,331.21,29503070.0
2023-05-31,332.29,335.94,327.33,328.39,45546858.0
2023-06-01,325.93,333.53,324.72,332.58,26773851.0
2023-06-02,334.247,337.5,332.55,335.4,25873769.0
2023-06-05,335.22,338.5599,334.6601,335.94,21307053.0
2023-06-06,335.33,335.37,332.17,333.68,20396223.0
2023-06-07,331.65,334.49,322.5,323.38,40717129.0
2023-06-08,323.935,326.64,323.35,325.26,23277708.0
2023-06-09,324.99,329.99,324.41,326.79,22528950.0
2023-06-12,328.58,332.0999,325.16,331.85,24306753.0
2023-06-13,334.465,336.98,330.39,334.29,22951279.0
2023-06-14,334.34,339.04,332.81,337.34,26003791.0
2023-06-15,337.48,349.84,337.2,348.1,38899075.0
2023-06-16,351.32,351.47,341.95,342.33,46551985.0
2023-06-20,339.31,342.08,335.86,338.05,26375407.0
2023-06-21,336.37,337.73,332.07,333.56,25117799.0
2023-06-22,334.12,340.12,333.34,339.71,23556764.0
2023-06-23,334.36,337.96,333.45,335.02,23146901.0
2023-06-26,333.72,336.11,328.49,328.6,21520582.0
2023-06-27,331.86,336.15,329.3,334.57,24354110.0
2023-06-28,334.66,337.98,333.81,335.85,20259523.0
2023-06-29,334.71,336.11,332.62,335.05,16997042.0
2023-06-30,337.75,342.73,337.2,340.54,26832756.0
2023-07-03,339.19,340.9,336.571,337.99,12508692.0
2023-07-05,335.09,341.65,334.7276,338.15,18172378.0
2023-07-06,337.3,342.99,335.5,341.27,28195534.0
2023-07-07,339.32,341.79,337.0,337.22,21214824.0
2023-07-10,334.6,335.23,327.59,331.83,32791449.0
2023-07-11,331.06,332.86,327.0,332.47,26698218.0
2023-07-12,336.6,341.652,335.67,337.2,29995262.0
2023-07-13,339.56,343.74,339.02,342.66,20567159.0
2023-07-14,347.59,351.43,344.31,345.24,28352729.0
